,taxon,commons,taxonLabel,tarsier,inaturalist,gbif,nlsoortid,image
0,http://www.wikidata.org/entity/Q14124326,https://commons.wikimedia.org/wiki/Category:Dohrniphora_cornuta,Dohrniphora cornuta,https://andrawaag.github.io/tarsier/jupyter_link.html?name=Dohrniphora cornuta,329920,1548900,145383,http://commons.wikimedia.org/wiki/Special:FilePath/Dohrniphora%20cornuta%2001.JPG
1,http://www.wikidata.org/entity/Q2361563,,Ceratitis cosyra,https://andrawaag.github.io/tarsier/jupyter_link.html?name=Ceratitis cosyra,656067,1626042,149767,
2,http://www.wikidata.org/entity/Q2696803,,Atypophthalmus umbratus,https://andrawaag.github.io/tarsier/jupyter_link.html?name=Atypophthalmus umbratus,258852,1521740,174238,
3,http://www.wikidata.org/entity/Q13621788,,Horidiplosis ficifolii,https://andrawaag.github.io/tarsier/jupyter_link.html?name=Horidiplosis ficifolii,,1597025,148941,
4,http://www.wikidata.org/entity/Q13928636,,Chrysotus pallidipalpus,https://andrawaag.github.io/tarsier/jupyter_link.html?name=Chrysotus pallidipalpus,311472,1606124,150451,
5,http://www.wikidata.org/entity/Q14071887,,Bradysia difformis,https://andrawaag.github.io/tarsier/jupyter_link.html?name=Bradysia difformis,386827,1488930,148059,
6,http://www.wikidata.org/entity/Q14573528,,Aedes flavopictus,https://andrawaag.github.io/tarsier/jupyter_link.html?name=Aedes flavopictus,1143889,1651021,186118,
7,http://www.wikidata.org/entity/Q14727584,,Dacus siliqualactis,https://andrawaag.github.io/tarsier/jupyter_link.html?name=Dacus siliqualactis,,1625606,171719,
8,http://www.wikidata.org/entity/Q47007418,,Aedes atropalpus,https://andrawaag.github.io/tarsier/jupyter_link.html?name=Aedes atropalpus,1112059,1651847,171576,
0,http://www.wikidata.org/entity/Q10792831,,Merodon cinereus,https://andrawaag.github.io/tarsier/jupyter_link.html?name=Merodon cinereus,1088474,1544168,147465,
1,http://www.wikidata.org/entity/Q10792833,,Merodon constans,https://andrawaag.github.io/tarsier/jupyter_link.html?name=Merodon constans,916808,1544294,147462,
2,http://www.wikidata.org/entity/Q10792835,,Merodon eques,https://andrawaag.github.io/tarsier/jupyter_link.html?name=Merodon eques,,1544287,147461,
3,http://www.wikidata.org/entity/Q14119662,,Megaselia gregaria,https://andrawaag.github.io/tarsier/jupyter_link.html?name=Megaselia gregaria,,1546523,145290,
4,http://www.wikidata.org/entity/Q14228909,,Strobilomyia melania,https://andrawaag.github.io/tarsier/jupyter_link.html?name=Strobilomyia melania,1200256,1574948,149247,
5,http://www.wikidata.org/entity/Q14228913,,Strobilomyia infrequens,https://andrawaag.github.io/tarsier/jupyter_link.html?name=Strobilomyia infrequens,,1574962,149248,
6,http://www.wikidata.org/entity/Q14338477,,Merodon caucasicus,https://andrawaag.github.io/tarsier/jupyter_link.html?name=Merodon caucasicus,,1544210,147463,
7,http://www.wikidata.org/entity/Q14428795,,Meroplius fukuharai,https://andrawaag.github.io/tarsier/jupyter_link.html?name=Meroplius fukuharai,,4516109,182672,
8,http://www.wikidata.org/entity/Q14609252,,Proceroplatus trinidadensis,https://andrawaag.github.io/tarsier/jupyter_link.html?name=Proceroplatus trinidadensis,,1564351,182563,
9,http://www.wikidata.org/entity/Q14711613,,Sciophila fractinervis,https://andrawaag.github.io/tarsier/jupyter_link.html?name=Sciophila fractinervis,,5084830,182564,
10,http://www.wikidata.org/entity/Q10792829,https://commons.wikimedia.org/wiki/Category:Merodon_avidus,Merodon avidus,https://andrawaag.github.io/tarsier/jupyter_link.html?name=Merodon avidus,338539,1544230,147464,http://commons.wikimedia.org/wiki/Special:FilePath/Merodon%20avidusDSC05647.JPG
